Movie Title,Identifier,metascore,userscore
Airplane,airplane!,78,7.8
Trolljegeren,trollhunter,61,7.2
Ira and Abby,ira-abby,62,tbd
National Lampoons Animal House,animal-house,79,7.5
That Thing You Do,that-thing-you-do!,71,7.0
Anatomie,anatomy,33,6.2
Go For It,go-for-it!,44,tbd
Chacun sa nuit,one-to-another,41,tbd
Dr. Strangelove,dr-strangelove-or-how-i-learned-to-stop-worrying-and-love-the-bomb,97,8.8
Travellers and Magicians,travelers-and-magicians,71,tbd
Nueve Reinas,nine-queens,80,8.0
The Lion of Judah,the-lion-of-judah-1969,tbd,tbd
Girlhouse,girl-house,tbd,6.7
La chambre bleue,the-blue-room,73,4.7
Los insolitos peces gato,the-amazing-catfish,69,7.1
Que Horas Ela Volta,the-second-mother,82,8.9
Ostatnia Rodzina,the-last-family,69,6.8
Bleeding Hearts,bleeding-heart,tbd,3.4
Bubba HoTep,bubba-ho-tep,57,7.3
Beyond the Brick: A LEGO Brickumentary,a-lego-brickumentary,51,4.9
Lfe Happens,life-happens,44,5.0
Jodaeiye Nader az Simin,a-separation,95,8.9
Kevin Hart: Laugh at My Pain,laugh-at-my-pain,tbd,tbd
O Menino e o Mundo,boy-and-the-world,80,7.9
Finishing the Game,finishing-the-game-the-search-for-a-new-bruce-lee,46,tbd
Rodeo Girl,rodeo-girls,N/A,N/A
Mutual Friends,mutual-friends,N/A,N/A
Dogtown and ZBoys,dogtown-and-z-boys,76,6.2
Home Movies,home-movies,N/A,N/A
Lovely and Amazing,lovely-amazing,75,7.4
The Man From,the-man-from-earth-holocene,tbd,6.3
Open Secret,an-open-secret,66,tbd
Peace Propaganda and the Promised Land,peace-propaganda-the-promised-land,57,tbd
Hayride,hayride-2,tbd,tbd
Gabriela,gabrielle-2014,70,tbd
Smiling Fish and Goat on Fire,smiling-fish-goat-on-fire,44,tbd
Newlyweds,newlyweds-the-first-year,N/A,N/A
SpiderMan 3,spider-man-3,59,6.6
SpiderMan 2,spider-man-2,83,8.7
Fast and Furious 6,fast-furious-6,61,7.0
The Twilight Saga: Breaking Dawn Part 2,the-twilight-saga-breaking-dawn---part-2,52,4.4
The Twilight Saga: Breaking Dawn Part 1,the-twilight-saga-breaking-dawn---part-1,45,4.3
Mission: Impossible 2,mission-impossible-ii,59,5.8
K19: The Widowmaker,k-19-the-widowmaker,58,6.5
The Nutcracker in 3D,the-nutcracker,18,3.1
Wall Street 2: Money Never Sleeps,wall-street-money-never-sleeps,59,5.7
U571,u-571,62,7.0
Miss Congeniality 2: Armed and Fabulous,miss-congeniality-2-armed-fabulous,34,4.8
Kill Bill: Volume 2,kill-bill-vol-2,83,8.2
The Adventures of Sharkboy and Lavagirl in 3D,the-adventures-of-sharkboy-and-lavagirl-3-d,38,4.2
Spy Kids 3D: Game Over,spy-kids-3-d-game-over,57,5.6
The Conjuring 2: The Enfield Poltergeist,the-conjuring-2,65,7.6
Step Up 3D,step-up-3-d,45,6.3
12 Monkeys,twelve-monkeys,75,8.0
Jeepers Creepers 2,jeepers-creepers-ii,36,6.5
Piranha 3D,piranha-3-d,53,5.7
The Naked Gun 2: The Smell of Fear,the-naked-gun-212-the-smell-of-fear,65,7.1
Jaws 4: The Revenge,jaws-the-revenge,15,3.4
Jackass 3D,jackass-3-d,56,7.1
Tyler Perrys Boo 2 A Madea Halloween,tyler-perrys-boo-2!-a-madea-halloween,17,2.5
Catch22,catch-22-2019/season-1/,N/A,N/A
Halloween: H2O,halloween-h20-20-years-later,52,6.9
Crocodile Dundee 2,crocodile-dundee-ii,41,5.7
Reno 911: Miami,reno-911!-miami,47,4.9
Police Academy 7: Mission to Moscow,police-academy-mission-to-moscow,11,4.7
The Reef,the-reef-stalked,41,3.4
High School Musical 2,high-school-musical-2,N/A,N/A
House Party 2,house-party,76,7.3
Psych 9,psych,N/A,N/A
7500,7500-2020,58,6.1
Candyman 3: Day of the Dead,candyman,61,7.2
Halloween 3: Season of the Witch,halloween-iii-season-of-the-witch,50,6.2
Friday the 13th Part 3,friday-the-13th-part-iii,30,6.4
Return of the Living Dead 3,return-of-the-living-dead-iii,47,5.9
