Title,Metascore,Userscore
Die Hard: With a Vengeance,58,7.9
DC League of Super Pets,56,6.2
Alvin and the Chipmunks: The Road Chip,33,4.0
Atlantis: The Lost Empire,52,7.3
Valkyrie,56,7.0
Pixels,27,5.0
Hollow Man,24,5.7
The Interpreter,62,7.1
Percy Jackson: Sea of Monsters,39,4.9
Lara Croft: Tomb Raider: The Cradle of Life,43,5.7
Spy Game,63,7.1
The Saint,50,7.2
Mission to Mars,34,6.1
Bicentennial Man,42,7.5
Volcano,54,5.8
Death on the Nile,52,5.6
Conan the Barbarian,43,7.8
Conan the Barbarian,43,7.8
The Three Musketeers,35,5.1
The Promise,53,6.0
Bright,29,7.1
Army of the Dead,57,5.0
The Predator,48,4.3
Snake Eyes: G.I. Joe Origins,43,4.6
Fantastic Four,40,5.5
Hannibal,57,6.5
Renfield,53,6.4
Seabiscuit,72,7.1
Project Power,51,5.2
Happy Feet,77,6.5
Air Force One,62,6.8
Sing,59,6.4
Sing,59,6.4
Horton Hears a Who,N/A,N/A
Divergent,48,5.9
Hotel Transylvania,47,6.9
Shazam,71,7.5
Enchanted,75,7.4
Safe House,52,6.5
I Now Pronounce You Chuck and Larry,N/A,N/A
Enemy of the State,67,7.2
Open Season,49,6.1
Tower Heist,59,6.2
Mirror Mirror,46,5.2
The Holiday,52,7.1
Last Action Hero,44,7.3
The Rundown,59,6.9
Arthur Christmas,69,7.5
xXx: Return of Xander Cage,42,4.7
Showtime,32,6.1
Judge Dredd,N/A,N/A
Scott Pilgrim vs. The World,69,8.2
Nutty Professor II: The Klumps,38,5.4
Click,45,6.6
Jumper,35,5.7
The Longest Yard,48,6.5
The Boss Baby: Family Business,39,5.5
Bruce Almighty,46,7.2
The Hunger Games,68,7.1
Minions: The Rise of Gru,56,7.5
The Hangover Part II,44,5.7
The Lego Batman Movie,75,7.7
Batman Returns,68,7.7
The Secret Life of Pets,61,6.2
Over the Hedge,67,7.3
Deep Impact,40,6.1
Grown Ups,30,5.1
Alvin and the Chipmunks: Chipwrecked,24,3.8
Get Smart,54,6.4
Robots,64,6.8
Four Christmases,41,5.2
FaceOff,82,7.6
Bedtime Stories,33,5.7
Alien: Romulus,64,7.2
Just Go With It,33,6.4
Daredevil,42,5.5
Eagle Eye,43,6.1
Con Air,52,6.9
Yogi Bear,35,4.6
Cold Mountain,73,7.5
The Book of Eli,53,6.9
Flubber,38,5.1
Space Jam,57,7.1
Smallfoot,60,6.7
The Pink Panther,38,5.9
Zookeeper,30,4.7
Conspiracy Theory,50,6.6
Six Days Seven Nights,51,6.3
Spirit: Stallion of the Cimarron,52,8.0
Swordfish,32,6.4
Lost In Space,43,5.6
Bewitched,34,5.1
The Good Shepherd,61,6.8
What Dreams May Come,44,6.9
Ad Astra,80,6.2
Madame Web,26,2.8
The Creator,63,6.3
Little Nicky,38,5.4
Evolution,40,6.0
Mars Attacks,N/A,N/A
The Wild,47,5.3
Walking with Dinosaurs,37,3.8
Thirteen Days,67,7.3
Daylight,72,5.3
The Last Witch Hunter,34,5.6
Looney Tunes: Back in Action,64,6.3
Timeline,29,5.4
Babe: Pig in the City,68,6.2
Red Planet,34,6.6
The Invasion,45,6.0
Amsterdam,49,5.3
A Sound of Thunder,24,4.8
The Aeronauts,60,5.8
Red Dragon,60,7.2
The Wild Robot,85,8.6
Hidalgo,54,7.3
Exorcist: The Beginning,30,4.8
Renegades,33,4.4
The Equalizer,57,6.9
Independence Day,59,7.0
Dr. Seuss The Grinch,N/A,N/A
Madagascar,57,7.1
Shark Tale,48,5.1
Creed III,73,6.8
Wanted,64,6.8
The Rock,58,7.4
Ghostbusters: Afterlife,45,7.8
Mamma Mia: Here We Go Again,N/A,N/A
Hairspray,81,7.3
Dreamgirls,76,7.6
Christopher Robin,60,7.5
Inspector Gadget,36,4.2
Constantine,50,7.3
Morbius,35,6.0
Monster House,68,7.2
Vertical Limit,48,6.2
Charlie Wilsons War,67,6.7
Life,63,7.1
Life,63,7.1
Be Cool,37,6.4
House of Gucci,59,7.8
Transformers One,64,8.1
Munich,74,7.4
Killers,21,4.7
The Man From U.N.C.L.E.,56,7.4
Tears of the Sun,48,6.5
Lady in the Water,36,4.6
Spanglish,48,6.0
Bandits,60,6.7
Anna and the King,56,6.1
First Knight,57,5.9
Sucker Punch,33,6.3
Hostage,44,6.3
Inferno,42,5.5
Hollywood Homicide,47,4.8
Titan A.E.,48,6.9
Flight of the Phoenix,47,6.5
Soldier,N/A,N/A
Virus,19,6.2
Monkeybone,40,5.7
PLAYMOBIL,N/A,N/A
Dont Look Up,49,6.6
The Man From Toronto,34,5.0
Minions,56,5.2
The SpongeBob Movie: Sponge Out of Water,62,6.6
The Lost City,47,4.8
The Lost City,47,4.8
Unbreakable,62,7.6
Talladega Nights: The Ballad of Ricky Bobby,66,6.8
The Angry Birds Movie,43,6.4
Snake Eyes,52,6.4
Sphere,35,6.6
The Simpsons Movie,80,8.0
Fools Gold,29,5.3
Funny People,60,6.2
The Kingdom,56,6.9
Driven,29,5.1
The Majestic,27,6.8
Two Brothers,63,7.3
The Village,44,6.6
Doctor Dolittle,46,6.7
Signs,59,7.1
It: Chapter Two,58,6.4
Runaway Bride,39,5.4
xXx,48,6.1
Ransom,61,6.4
Hook,52,7.1
Teenage Mutant Ninja Turtles: Mutant Mayhem,74,5.7
S.W.A.T.,45,5.8
Daddys Home,42,6.1
Sleepy Hollow,65,7.5
Vanilla Sky,45,6.7
Olympus Has Fallen,41,5.8
Battle: Los Angeles,37,5.8
War Horse,72,6.8
We Were Soldiers,65,6.9
The Monuments Men,52,5.5
Storks,56,6.2
Star Trek: Insurrection,64,6.1
Wolf,52,tbd
Underworld: Awakening,39,6.3
The Lego Ninjago Movie,55,5.6
Dracula Untold,40,6.4
The Guardian,53,6.9
The Dilemma,46,4.6
Rumor Has It,35,4.9
The Siege,53,6.6
Stardust,66,7.9
Rock of Ages,47,5.9
The Hitmans Wifes Bodyguard,32,5.7
The Brave One,56,5.6
I Spy,35,5.9
Bad Company,37,4.8
Doom,34,4.8
The Finest Hours,58,6.6
Escape Plan,49,6.9
Hard Rain,36,6.0
Rollerball,14,3.4
The Legend of Hercules,22,2.4
Next,42,6.1
Ruby Gillman Teenage Kraken,50,5.7
Ballistic: Ecks vs. Sever,19,4.3
Osmosis Jones,57,6.2
Legends of Oz: Dorothys Return,25,4.9
Blackhat,52,5.3
Agora,55,7.2
The Old Guard,70,5.9
b,N/A,N/A
Dinner for Schmucks,56,5.5
Red Sparrow,53,5.5
The Twilight Saga: Eclipse,58,4.7
Nope,77,6.2
Ted,62,6.9
The Score,71,7.1
Hall Pass,45,5.6
Money Train,N/A,N/A
Dreamcatcher,35,5.6
Mystery Men,66,6.3
Downsizing,64,5.3
Reminiscence,46,5.1
Dr. Seuss The Lorax,46,5.9
Body of Lies,57,6.8
Abraham Lincoln: Vampire Hunter,42,5.8
A Quiet Place: Day One,68,5.9
The New Mutants,43,4.3
Last Man Standing,44,5.7
Entrapment,54,6.3
The Dark Tower,34,4.5
Need for Speed,39,6.6
What Women Want,47,6.6
Youve Got Mail,58,6.7
Spy,75,6.7
Due Date,51,6.3
Jumanji,39,7.5
Space Cowboys,73,6.3
Annie,39,6.3
Petes Dragon,71,6.7
Petes Dragon,71,6.7
World Trade Center,66,6.7
Mona Lisa Smile,45,6.8
The Dictator,58,6.5
The Croods: A New Age,56,6.5
This Means War,31,5.9
Focus,53,6.3
Blade: Trinity,38,4.7
Red Dawn,31,4.3
We Are Marshall,53,6.3
Resident Evil: Retribution,39,5.0
Primary Colors,70,8.0
Death Race,43,6.7
Proof of Life,45,6.1
Zathura,N/A,N/A
The Missing,55,6.8
Elektra,34,4.2
Astro Boy,53,5.8
I Frankenstein,30,4.3
Underwater,48,6.1
Hudson Hawk,17,6.4
Sin City: A Dame to Kill For,46,6.4
Live by Night,49,6.4
Lucky Numbers,31,8.4
Oliver Twist,65,6.8
Tian jiang xiong shi,N/A,N/A
Air Strike,tbd,4.3
Extraction,25,3.9
Little Man,26,5.4
Clifford the Big Red Dog,55,6.1
Random Hearts,38,5.0
Perfume: The Story of a Murderer,56,7.6
Austin Powers in Goldmember,62,6.8
Hop,41,4.7
American Assassin,45,5.8
Clear and Present Danger,72,7.1
The American President,68,7.1
A Quiet Place: Part II,71,7.2
Blades of Glory,64,6.4
Maze Runner: The Scorch Trials,43,6.2
Maze Runner: The Death Cure,50,6.4
A Dogs Way Home,50,6.1
Mei Ren Yu,N/A,N/A
Meet the Fockers,41,5.6
Wild Hogs,27,5.8
Sully,74,7.6
Couples Retreat,23,4.7
Goldeneye,65,7.7
Daddy Day Care,39,5.5
The Prince of Egypt,64,8.3
Collateral,71,7.9
Two Weeks Notice,42,6.6
The Garfield Movie,31,4.9
Antz,73,6.8
Red,60,6.9
Days of Thunder,60,6.8
Cheaper by the Dozen,46,6.4
Eat Pray Love,50,5.3
Jack Reacher,50,6.4
The Family Man,42,7.1
Contagion,70,6.6
Any Given Sunday,52,6.5
Deep Blue Sea,54,6.5
Ticket to Paradise,50,5.8
Kangaroo Jack,16,4.8
London Has Fallen,28,5.2
Rules of Engagement,45,6.5
The Shaggy Dog,43,5.0
Jingle All the Way,34,6.2
Hellboy,72,7.0
Hellboy,72,7.0
Jack Reacher: Never Go Back,47,5.7
Baywatch,37,4.8
U.S. Marshals,47,6.6
Joy,56,6.5
ParaNorman,72,7.3
Paycheck,43,6.0
The Tale of Despereaux,53,5.7
The Boxtrolls,61,6.9
Jack Ryan: Shadow Recruit,57,5.9
Vice,55,7.5
Alien: Resurrection,62,5.2
Shooter,53,7.1
Practical Magic,47,7.1
Smurfs: The Lost Village,40,5.5
First Man,84,7.4
Year One,34,5.1
Edge of Darkness,55,6.3
Star Trek: Nemesis,51,5.8
Reign of Fire,39,6.2
Duplicity,69,6.0
Righteous Kill,36,4.9
Invictus,74,7.2
My Favorite Martian,33,5.5
Trouble with the Curve,58,6.6
Intolerable Cruelty,71,6.4
The Relic,55,5.7
Mercury Rising,37,5.8
Cold Pursuit,57,6.0
Analyze That,37,5.4
The Soloist,61,6.6
The Mortal Instruments: City of Bones,33,6.2
Dragonfly,25,5.9
Priest,41,5.2
XXX: State of the Union,37,5.4
Event Horizon,35,7.1
Sinbad: Legend of the Seven Seas,48,6.6
Dark Water,52,5.4
EDtv,49,6.7
The Spirit,30,5.1
Inkheart,49,6.1
Monster Hunter,47,4.1
Supernova,19,5.8
Flyboys,47,6.9
Holy Man,42,5.6
Meet Dave,43,5.3
Nightmare Alley,70,7.0
Rock Dog,48,7.1
Three Thousand Years of Longing,60,6.5
Mortdecai,27,4.7
The SpongeBob Movie: Sponge on the Run,65,6.4
In the Name of the King: A Dungeon Siege Tale,15,3.5
Beyond Borders,32,5.6
Knights of the Zodiac,35,3.2
The Informer,61,6.7
Lady and the Tramp,78,7.7
Sherlock Gnomes,36,4.4
The Kid Who Would Be King,66,6.1
Rambo III,36,6.1
Red Tails,46,5.9
Just Like Heaven,47,6.6
The Internship,42,5.8
The Flintstones in Viva Rock Vegas,27,4.6
Leatherheads,56,5.3
Resident Evil: Afterlife,37,5.5
Thats My Boy,31,4.8
Devils Advocate,N/A,N/A
Ghost Rider: Spirit of Vengeance,34,4.0
Dragonheart,49,6.8
After the Sunset,38,5.7
Anger Management,52,6.2
Walking Tall,44,6.1
Alvin and the Chipmunks,39,4.9
Hitch,58,6.7
Meet the Parents,73,7.2
Pocahontas,59,7.1
Superman,82,7.8
The Nutty Professor,64,6.6
Fifty Shades Darker,33,3.1
American Wedding,43,6.8
Murder on the Orient Express,52,6.4
Casper,49,7.0
Fifty Shades Freed,31,3.5
Date Night,56,6.1
Maid in Manhattan,45,5.9
Crimson Tide,66,7.7
Flightplan,53,6.4
Disclosure,58,6.4
City of Angels,54,6.6
Paddington,77,7.7
R.V.,N/A,N/A
Stargate,42,7.5
Bowfinger,73,7.1
Death Becomes Her,56,7.5
Shanghai Noon,77,7.1
Executive Decision,62,7.3
Free Birds,38,4.4
Muppets Most Wanted,61,6.3
Challengers,82,6.6
Evita,45,7.9
Mortal Kombat,60,7.2
Mortal Kombat,60,7.2
Burlesque,47,7.6
The Hunted,40,5.8
Instinct,43,6.4
Stuck On You,62,5.9
Annihilation,79,7.0
Crimson Peak,66,6.7
The Pirates Band of Misfits,N/A,N/A
Aeon Flux,N/A,N/A
Chain Reaction,43,6.5
Gods and Generals,30,6.0
Turbulence,N/A,N/A
Bullet to the Head,48,5.7
Thunderbirds,36,5.1
Lucky You,49,6.7
Eye See You,N/A,N/A
Superman II,83,7.3
Blade,47,7.1
You Me and Dupree,46,5.9
Elizabethtown,45,5.6
Gigli,18,3.3
Shaft,50,6.4
Shaft,50,6.4
Black Mass,68,6.9
Moulin Rouge,N/A,N/A
Domestic Disturbance,29,7.2
Flags of Our Fathers,79,7.2
Grindhouse,77,7.6
Beloved,58,5.7
Zero Dark Thirty,95,7.0
Mamma Mia,N/A,N/A
The BreakUp,N/A,N/A
From Paris With Love,42,6.7
Bulletproof Monk,40,5.7
Barnyard: The Original Party Animals,N/A,N/A
Alpha,63,6.6
Deck the Halls,28,5.2
The Twilight Saga: New Moon,44,3.8
Robin Hood: Prince of Thieves,51,7.0
Jerry Maguire,77,7.4
As Good as it Gets,67,7.6
Patch Adams,26,5.8
Central Intelligence,52,6.2
Super,50,6.9
Mr. Deeds,24,5.9
Creed II,66,7.1
Peter Rabbit,51,6.5
The Mule,57,3.6
Yes Man,46,6.8
NonStop,N/A,N/A
Stepmom,58,7.4
Failure to Launch,47,5.3
The Emoji Movie,12,2.1
Crazy Stupid Love,68,7.4
The Post,83,7.0
Payback,46,7.0
Congo,24,5.9
Knowing,41,5.7
We Bought a Zoo,58,6.8
Moneyball,87,8.0
Garfield: The Movie,N/A,N/A
Christmas with the Kranks,22,5.4
Civil War,75,6.3
Outbreak,64,6.7
Race to Witch Mountain,52,5.6
The Forgotten,43,6.0
Herbie: Fully Loaded,47,5.6
Shanghai Knights,58,6.5
Planes: Fire and Rescue,N/A,N/A
Curious George,62,6.5
American Reunion,49,7.0
I am Number Four,36,6.0
Dont Say a Word,38,5.8
Unfaithful,63,6.7
American Made,65,6.9
Syriana,76,6.8
Resident Evil: Apocalypse,36,6.3
Absolute Power,52,6.5
Firewall,45,5.3
G.I. Jane,62,6.0
Into the Storm,44,5.2
The Judge,48,7.1
Silent Hill,31,7.4
Lyle Lyle Crocodile,51,6.7
Tom and Jerry,32,5.3
Rambo: Last Blood,26,7.5
The Negotiator,62,7.4
War Dogs,57,6.9
The Peacemaker,43,5.2
Out of Time,63,6.6
Bridget Jones: The Edge Of Reason,44,6.4
The Beach,43,6.5
On Deadly Ground,33,6.5
Ninja Assassin,34,6.3
Raising Helen,38,6.2
The Nice Guys,70,7.5
For Love of the Game,43,6.9
Jack Frost,40,7.8
Marmaduke,30,4.8
Striptease,37,3.8
Hereafter,56,6.1
Murder by Numbers,50,6.3
Assassins,74,5.5
Hostiles,65,7.2
Zoolander,61,6.5
Hannibal Rising,35,5.2
The Story of Us,37,5.5
The Host,85,7.2
Basic,34,7.3
Run All Night,59,6.5
Blood Work,64,6.5
The International,52,6.0
Escape from L.A.,54,6.3
Twisted,26,7.6
All the Money in the World,72,6.4
Your Highness,31,5.0
Snowden,58,7.1
Dream House,N/A,N/A
Free State of Jones,53,7.0
Gamer,27,5.0
Man of the House,35,5.4
Cabrini,51,6.8
Beautiful Creatures,40,tbd
Into the Blue,45,5.9
Babys Day Out,N/A,N/A
Fair Game,13,6.4
Drive Angry,N/A,N/A
Mad City,45,8.0
The Scarlet Letter,N/A,N/A
Domino,37,5.5
Jade,33,8.0
Death to Smoochy,38,6.9
Early Man,68,6.3
The Many Saints of Newark,60,4.9
Operation Fortune: Ruse de guerre,51,6.4
The Big Bounce,42,4.6
The Wandering Earth,57,5.2
Arctic Dogs,28,4.6
The Rhythm Section,45,4.1
Outlander,40,7.0
Shanghai,36,6.1
Dora and the Lost City of Gold,63,5.2
The One,25,6.2
Chappie,41,7.1
Anna Karenina,63,6.4
The Ring,57,7.2
Panic Room,65,7.1
Zombieland: Double Tap,55,6.5
Three Kings,82,7.5
Tooth Fairy,36,4.5
Rat Race,52,7.3
KPAX,N/A,N/A
Kate and Leopold,N/A,N/A
Charlies Angels,52,6.0
Rambo,46,7.4
The Infiltrator,66,7.1
Addams Family Values,61,7.1
Riding in Cars with Boys,43,7.9
Jonah Hex,33,4.0
Mary Reilly,44,6.7
Silence,79,7.6
Mr. Nobody,63,8.1
Star Trek: First Contact,70,8.1
Brother Bear,48,6.7
Insomnia,78,7.7
Courage Under Fire,77,6.6
Strays,54,5.3
Inchon,N/A,N/A
Arthur and the War of Two Worlds,N/A,N/A
Liar Liar,70,7.5
A Bugs Life,78,7.6
The Flintstones,38,5.0
Scary Movie,48,6.7
Miss Congeniality,43,6.7
Pitch Perfect,66,7.3
Journey to the Center of the Earth,57,5.7
The Pelican Brief,51,6.6
The Bucket List,42,6.9
The Client,65,7.1
The Muppets,75,7.7
Patriot Games,64,7.1
MonsterinLaw,N/A,N/A
The Girl on the Train,68,7.5
Galaxy Quest,70,7.7
Changing Lanes,69,6.4
Anaconda,37,5.3
Underworld: Evolution,36,6.9
Coyote Ugly,27,5.3
Love Actually,55,7.2
Jack,31,6.6
Office Christmas Party,42,5.0
Tin Cup,60,6.4
Yours Mine and Ours,38,5.3
Kicking and Screaming,75,7.1
Resident Evil: Extinction,41,6.2
No Hard Feelings,59,6.0
Fat Albert,39,5.9
Savages,59,6.2
The River Wild,63,6.9
Blended,31,5.6
Last Holiday,52,6.2
Cellular,60,6.6
Doctor Sleep,59,7.1
The Ant Bully,59,5.7
Johnny English,51,6.8
Aliens in the Attic,42,5.5
Across the Universe,56,7.1
Revolutionary Road,69,7.5
Babylon A.D.,26,4.9
UglyDolls,39,5.2
Multiplicity,53,tbd
The Pledge,71,7.1
Paws of Fury: The Legend of Hank,45,5.3
Rebound,36,5.3
The Ghost Writer,77,7.5
All the Pretty Horses,55,6.3
Bangkok Dangerous,24,4.7
Nixon,66,7.0
The Last Voyage of the Demeter,52,5.9
Dredd,60,8.0
Deep Rising,tbd,tbd
Welcome to Marwen,40,6.1
Bloodshot,44,5.2
Johnny English Reborn,46,6.4
Miracle at St. Anna,37,4.8
Big Trouble,47,5.8
Love in the Time of Cholera,43,4.4
Pinocchio,11,4.6
Pinocchio,11,4.6
Pinocchio,11,4.6
Shadow Conspiracy,N/A,N/A
Foodfight,N/A,N/A
Hillbilly Elegy,38,7.3
Rambo: First Blood Part II,47,7.4
Charlie St. Cloud,37,5.3
The Interview,52,6.2
The Heat,60,6.4
Finding Forrester,62,6.9
Danny the Dog,N/A,N/A
The Girl in the Spiders Web,43,4.9
Last Night in Soho,65,7.0
A Monster Calls,76,7.7
The Mechanic,49,6.1
Notting Hill,68,7.5
Chicken Run,88,7.8
Along Came Polly,44,5.6
Boomerang,45,6.3
Cleopatra,60,6.6
Snatched,45,3.0
Here Comes the Boom,40,6.2
High Crimes,48,6.7
The Mirror Has Two Faces,N/A,N/A
Red Riding Hood,29,4.6
Licence to Kill,58,7.0
One for the Money,22,4.8
Lord of War,62,7.7
Super Mario Bros.,35,4.6
Man on a Ledge,40,6.3
Micmacs,62,7.1
Rocketman,69,7.4
The Big Year,53,6.3
Mafia Mamma,42,4.6
Wedding Crashers,64,7.0
Fifty Shades of Grey,46,3.2
The Proposal,48,6.8
American Hustle,90,7.3
Lucy,62,5.8
Double Jeopardy,41,6.4
A League of Their Own,69,7.8
John Wick: Chapter Two,N/A,N/A
Ride Along,41,5.7
Get Hard,34,5.1
The Accountant,51,7.3
Dumb and Dumber To,36,5.6
The Other Woman,37,4.8
Eight Below,64,7.4
The Intern,51,6.8
Bridge of Spies,81,7.6
Vantage Point,40,6.1
I Love You Man,70,7.2
Shallow Hal,48,6.2
Angel Has Fallen,45,6.0
The House with a Clock in its Walls,57,5.8
The Final Destination,30,5.0
The Conjuring: The Devil Made Me Do It,53,6.3
Unknown,44,5.7
Unknown,44,5.7
Gothika,38,6.1
Behind Enemy Lines,49,6.0
The Lincoln Lawyer,63,7.4
Shall We Dance,47,6.1
Invincible,63,7.1
Escape From Planet Earth,35,5.3
Small Soldiers,N/A,N/A
Spawn,34,5.4
Horrible Bosses,57,7.0
The Lake House,52,7.0
The Odd Life of Timothy Green,47,6.1
Amistad,64,7.4
Music and Lyrics,59,7.2
Legal Eagles,57,tbd
Secret Window,46,6.4
The Rainmaker,72,7.2
Jersey Boys,54,6.6
Made of Honor,37,5.4
A Million Ways to Die in The West,44,5.3
Final Destination,39,6.8
Widows,84,6.8
Fever Pitch,56,6.5
Sex Tape,36,4.0
Autumn in New York,24,5.5
Paul,57,7.0
The Guilt Trip,50,6.3
Colombiana,45,5.6
The Commuter,56,6.3
Hanging Up,33,6.4
Mickey Blue Eyes,49,6.2
The Spy Who Dumped Me,52,5.6
Pay it Forward,40,6.7
Drillbit Taylor,41,6.5
Extremely Loud and Incredibly Close,46,5.8
The Shadow,50,7.9
Morning Glory,57,6.6
Long Shot,tbd,6.1
Grudge Match,35,6.4
Bless the Child,17,5.4
Resident Evil: The Final Chapter,49,5.1
The House,30,4.6
Sweet November,27,7.1
The Reaping,36,5.4
Season of the Witch,N/A,N/A
Renaissance Man,44,6.8
Ambulance,55,5.5
Quest for Camelot,50,6.2
City by the Sea,50,6.2
Mechanic: Resurrection,38,5.2
The Happytime Murders,27,4.6
Showgirls,23,5.4
City Hall,88,6.2
Big Miracle,61,6.0
A Thousand Words,26,5.3
Harold and the Purple Crayon,34,4.8
Licorice Pizza,90,6.8
Hunter Killer,43,6.4
Get Carter,24,5.9
Kiss of Death,72,6.2
Keeping Up with the Joneses,34,5.7
Life or Something Like It,31,7.4
Ishtar,51,6.1
Memoirs of an Invisible Man,48,5.9
Amelia,37,5.5
New York Minute,33,5.0
Alfie,49,5.9
Malignant,51,6.2
Pandorum,28,7.4
Duplex,50,6.6
Paranoia,32,4.2
Raise the Titanic,N/A,N/A
Baahubali: The Beginning,tbd,8.3
The Hurricane Heist,35,4.4
Impostor,33,7.6
The Goldfinch,40,6.8
Extreme Ops,17,5.5
Just Visiting,38,6.1
Snowpiercer,84,7.1
Sunshine,64,7.4
The Hudsucker Proxy,53,7.0
Billy Lynns Long Halftime Walk,53,5.9
Delgo,27,4.6
The Hunting Party,54,6.8
Alex Rider: Operation Stormbreaker,42,4.3
Red Cliff,73,7.3
The Last Shot,47,tbd
Nomad,49,4.6
Solomon Kane,48,6.7
Kursk,55,5.0
USS Indianapolis: Men of Courage,30,4.4
Timmy Failure: Mistakes Were Made,60,6.5
Heaven and Hell,N/A,N/A
Hocus Pocus,43,7.1
Superman III,44,4.5
Because I Said So,26,5.3
Sgt. Bilko,47,6.7
Against the Ropes,36,5.6
The Fast and the Furious,58,7.1
Sweet Home Alabama,45,6.6
Star Trek: Generations,55,6.6
Captain Underpants: The First Epic Movie,69,6.9
Paul Blart: Mall Cop,39,5.2
Mouse Hunt,N/A,N/A
Why Him,39,5.8
Water for Elephants,52,6.9
Riddick,49,7.0
Heartbreakers,47,7.0
Enough,25,6.8
Push,36,6.3
Angel Eyes,39,7.0
Joe Somebody,42,6.2
Overlord,88,8.0
The War with Grandpa,34,5.1
Extreme Measures,56,tbd
Rock Star,54,5.8
News of the World,73,6.9
The Kitchen,tbd,tbd
White Squall,53,6.1
City of Ember,58,6.4
Switchback,N/A,N/A
The Sisters Brothers,78,7.2
Texas Rangers,29,8.0
Virgin Territory,N/A,N/A
The Upside,46,6.0
The Master,86,7.3
Twilight,56,4.1
Twilight,56,4.1
Were the Millers,44,6.9
The Town,74,7.7
Dolphin Tale,64,6.8
Game Night,66,7.1
Burn After Reading,63,7.0
Tyler Perrys Temptation,26,3.7
How to be Single,51,6.1
Cop Out,31,5.5
The Rite,38,5.6
Aloha,40,4.3
The Ghouls,N/A,N/A
A Star is Born,88,8.4
Gnomeo and Juliet,53,5.7
Mean Girls,66,8.1
Mean Girls,66,8.1
John Q.,30,6.4
Blue Streak,46,6.7
Never Say Never Again,68,5.5
Hot Tub Time Machine,63,6.4
Breakdown,74,7.5
Beast,74,6.9
Collateral Beauty,23,6.1
Reindeer Games,37,5.9
Snow Falling on Cedars,44,8.4
Ghosts of Mississippi,N/A,N/A
There Be Dragons,33,8.1
Queen of the Desert,39,5.1
Head of State,44,6.5
It,69,7.8
Austin Powers: The Spy Who Shagged Me,59,7.0
Identity Thief,35,5.0
Spy Kids,71,6.8
Trainwreck,75,5.5
Scream VI,61,6.7
Saving Mr. Banks,65,7.6
Star Trek: The Motion Picture,50,6.7
Hotel for Dogs,51,6.1
Guess Who,49,5.7
Sky High,62,6.6
The Cell,40,6.4
Species,49,6.5
The Man in the Iron Mask,49,6.5
Friends with Benefits,63,6.7
TMNT,41,6.3
Radio,38,6.5
Sicario: Day of the Soldado,61,7.0
Poltergeist,47,4.1
Poltergeist,47,4.1
Must Love Dogs,46,5.5
License to Wed,25,4.9
Max Payne,31,4.9
Resident Evil,35,6.9
In Time,53,6.5
J. Edgar,59,6.4
Bounce,52,6.5
Hot Pursuit,31,4.7
Concussion,56,5.3
The Foreigner,55,7.1
Closer,65,7.2
Street Fighter,34,4.9
Black Knight,32,6.2
House of Wax,41,6.3
House of Wax,41,6.3
From Hell,54,6.6
Adrift,tbd,tbd
Mirrors,35,5.9
Queen of the Damned,30,5.7
Nanny McPhee and the Big Bang,N/A,N/A
Abduction,25,4.3
Blast from the Past,50,7.6
Alex Cross,30,4.4
Jersey Girl,43,5.8
Midnight in the Garden of Good and Evil,56,6.3
Bridget Joness Baby,59,6.6
Heist,66,5.7
Heist,66,5.7
Hoffa,50,6.9
Whiskey Tango Foxtrot,57,6.4
Ella Enchanted,53,6.1
Phantom Thread,90,7.7
Premium Rush,66,6.8
Broken City,49,5.2
Valiant,45,5.2
Wonder Boys,74,7.9
Cursed,31,5.7
The Four Feathers,49,6.9
Parker,42,6.1
Wimbledon,59,6.6
Bait,39,5.7
Dungeons and Dragons,N/A,N/A
Lions for Lambs,47,5.2
Flight of the Intruder,N/A,N/A
The Tree of Life,85,7.1
American Outlaws,25,5.3
Playing for Keeps,27,5.3
Playing for Keeps,27,5.3
Zoom,26,5.0
Sabotage,41,5.3
Knock Off,37,4.6
Whiteout,28,5.8
Unfinished Business,32,4.6
The Walk,70,7.5
The Fountain,51,7.9
Mandela: Long Walk to Freedom,60,5.8
Beau is Afraid,63,6.4
Punisher: War Zone,30,5.9
The Order,21,3.6
The Brothers Grimsby,44,6.0
The Snowman,23,4.0
Femme Fatale,60,5.9
Warriors of Virtue,N/A,N/A
Luther,47,5.6
Biutiful,58,7.2
Radio Flyer,N/A,N/A
A Hologram for the King,58,5.6
Lion of the Desert,N/A,N/A
Stolen,34,8.0
Trespass,37,5.2
Bandidas,N/A,N/A
The Power of the Dog,89,6.6
Guillermo Del Toros Pinocchio,79,8.1
The Lovers,19,4.1
Black Water Transit,N/A,N/A
The Darkest Hour,18,5.0
The Maze Runner,57,6.8
The Age of Innocence,90,7.8
The Darkest Minds,39,5.8
Chill Factor,33,6.3
I Dreamed of Africa,33,5.5
Thunder and the House of Magic,47,5.5
Greenland,64,6.3
Reds,76,7.5
Exit Wounds,39,6.4
Mike and Dave Need Wedding Dates,N/A,N/A
Step Up Revolution,43,5.2
Snakes on a Plane,58,5.7
The Watcher,22,6.1
Unhinged,40,5.3
Safe,55,6.2
Doomsday,51,5.7
Pushing Tin,47,7.0
The Young and Prodigious T.S. Spivet,53,7.2
Freaks of Nature,tbd,7.1
Bridesmaids,75,7.1
The Big Wedding,28,4.6
Wanderlust,53,5.7
Elf,66,7.4
Phenomenon,42,7.2
This is the End,67,7.1
Snow Dogs,29,6.6
