Title,Metascore,Userscore
Ghost in the Shell,76,8.6
About Time,55,7.9
Freedom Writers,64,7.5
A Street Cat Named Bob,54,7.8
Mulan,72,8.2
Mulan,72,8.2
Dangal,tbd,8.2
Captain Fantastic,72,7.7
Titanic,75,8.3
La La Land,94,8.4
Persepolis,90,8.2
V for Vendetta,62,8.4
Gone Girl,79,8.1
The Greatest Showman,48,7.5
The Notebook,53,7.5
Coraline,80,8.1
Just Mercy,68,6.9
Young Frankenstein,83,8.2
Dancer in the Dark,63,8.6
A Beautiful Mind,72,8.1
Her,91,8.5
Stand by Me,75,8.4
The Whale,64,5.8
Indiana Jones and the Last Crusade,65,8.6
Warrior,71,8.3
Dances with Wolves,72,8.1
The Big Lebowski,71,8.4
The Specials,38,5.3
Feast,43,6.8
Papillon,51,6.4
Emancipation,53,4.5
War Room,26,5.6
Arthur the King,54,7.2
Solaris,67,6.1
Network,83,8.3
Words on Bathroom Walls,61,6.8
Bajrangi Bhaijaan,N/A,N/A
Harry Potter and the Goblet of Fire,81,7.9
Snatch,55,8.3
Polisse,74,7.0
Into the Wild,73,8.1
Monty Python and the Holy Grail,91,8.5
Brokeback Mountain,87,8.2
Flee,91,7.9
Home,67,6.6
Home,67,6.6
Home,67,6.6
The Perks of Being a Wallflower,67,8.4
Rocky,70,8.7
Straight Outta Compton,72,7.7
The Dark Knight Rises,78,8.5
Donnie Darko,71,8.4
Past Lives,94,8.0
Rain Man,65,7.9
A Walk to Remember,35,6.6
Mustang,83,7.5
Do the Right Thing,93,8.2
The Ten Commandments,25,4.5
The Ten Commandments,25,4.5
A Man Called Otto,51,6.8
The Hateful Eight,68,7.6
The Color Purple,78,8.2
Notorious,60,6.4
Notorious,60,6.4
Shrek,84,8.6
Platoon,92,8.1
Ponyo,86,7.7
Mystic River,84,8.0
The Exorcist,83,8.2
The Blues Brothers,60,8.4
Slumdog Millionaire,84,7.9
Magnolia,78,8.4
Sound of Metal,82,8.2
I Am Not Your Negro,95,5.3
Philadelphia,66,7.7
Rush,74,8.4
Harry Potter and the Chamber of Secrets,63,7.7
Hotel Rwanda,79,8.1
Edward Scissorhands,74,8.3
Selena,67,8.2
Prey,tbd,4.4
A Charlie Brown Christmas,N/A,N/A
The Incredibles,90,8.7
Batman Begins,70,8.3
Fried Green Tomatoes,64,7.7
The Trial of the Chicago 7,76,7.6
Waltz with Bashir,91,8.2
Moonrise Kingdom,84,8.1
Inside Job,88,8.3
Little Miss Sunshine,80,8.2
The Martian,80,7.9
Black Swan,79,8.1
Onward,61,7.3
The Act of Killing,92,8.4
Fiddler on the Roof,67,8.2
The Gentlemen,51,7.8
Harry Potter and the Order of the Phoenix,71,7.6
High Noon,89,8.2
