model,MAE,MSE,R2,Mean R2
XGBoost,0.427849725820566,0.38190252205827324,0.632155921515172,0.612710714011705
GradientBoosting,0.4256685594454106,0.38077310368710215,0.633243764186983,0.6086428196953768
DecisionTree,0.6009212058463405,0.7791477014490863,0.24953397349028494,0.1801203640074163
RandomForest,0.42653182975085135,0.38509763202293734,0.6290784286662763,0.5885023605095586
XGBoost with GridSearchCV,0.4177541956560782,0.3658883621905157,0.6475805745065055,0.6251868377550638
GradientBoosting with GridSearchCV,0.42244128095308264,0.3760176273621113,0.6378241838110664,0.6151277949173284
DecisionTree with GridSearchCV,0.49129817929570774,0.4901013844606773,0.5279400325521605,0.511309217665896
RandomForest with GridSearchCV,0.441979034947394,0.413143650258802,0.6020648292861545,0.5834133951216193
